artist_name,painting,title,year,medium
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa094.jpg,Kashmiri Woman in Spring,,Oil on canvas pasted on plywood
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa14.jpg,Blind Boy with a Pigeon on his Head,1967.0,Oil on canvas
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa36.jpg,Baga Beach,1994.0,Oil on jute
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa86.jpg,Catastrophe,1967.0,Oil on canvas
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa20.jpg,Untitled,1958.0,Oil on fabric pasted on plywood
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa63.jpg,Untitled,,Charcoal on tinted paper
A. A. Raiba,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/r/a/raibaaa72_1.jpg,Loss of the Cosmos,1964.0,Charcoal on tinted paper
A. M. Mali,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/a/mali_am08.jpg,Landscape,,Watercolour on paper
A. M. Mali,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/a/mali_am16.jpg,Untitled,,Oil on canvas
A. M. Mali,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/a/maliam18.jpg,Portrait of a Maharashtrian Man,1912.0,Watercolour on handmade paper
A. M. Mali,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/a/maliam22.jpg,Portrait of a Lady,,Soft pastel on board
A. M. Mali,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/m/a/mali_am07.jpg,Untitled,,Watercolour on paper
Adi Davierwalla,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/davierwallaadi03.jpg,Crucifixion,,Copper sheet with wood and metal armature
Arup Das,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasa011.jpg,Untitled,1996.0,"Oil, acrylic and pastel on canvas"
Arup Das,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasa019.jpg,Untitled,,Oil on canvas
Arup Das,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasa028.jpg,Untitled,2003.0,Watercolour and ink on paper
Arup Das,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasa038.jpg,Untitled,1965.0,Gouache and ink on paper
Arup Das,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasa016_1_.jpg,Untitled,1999.0,"Oil, acrylic and charcoal on canvas"
Arup Das,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasa06_1.jpg,Untitled,,Acrylic on canvas
Anonymous (Ravi Varma School),https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/n/anonymous290.jpg,Untitled (Saraswati),,Oil on canvas
Anonymous (Ravi Varma School),https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/n/anonymous297.jpg,Untitled (Apsara),,Oil on canvas
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas016_1_1.jpg,Untitled,,"Watercolour, water-soluble pencil colour and ink on paper"
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas026.jpg,Untitled,1972.0,Water-soluble pencil colour on paper
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas124.jpg,Untitled,2002.0,Oil and watercolour on paper
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas201.jpg,Untitled,1995.0,Oil and ink on paper
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas362_1.jpg,Untitled,1997.0,Ink on paper
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas480.jpg,Untitled,1973.0,Oil on canvas
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas492.jpg,Untitled,,Oil on canvas
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas502.jpg,Untitled,,Oil on canvas
Ambadas,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/m/ambadas518.jpg,Untitled,2001.0,Oil on canvas
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava012.jpg,Untitled,1993.0,Watercolour and ink on paper
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava059.jpg,Untitled,1973.0,Ink on paper
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava190.jpg,Untitled,1989.0,Ink on paper
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava242.jpg,Untitled,1987.0,Watercolour on handmade paper pasted on handmade paper
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava517.jpg,Grey Sky,,Acrylic and oil on canvas
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava531.jpg,The Magician,1990.0,Acrylic on canvas
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava649.jpg,Untitled,1980.0,Oil on canvas
Amitava,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/d/a/dasamitava667.jpg,I Touch a Face and Suddenly it Murders Me,1989.0,Oil on canvas
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda31.jpg,Cupid Playing,1996.0,Etching and aquatint on handmade paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda0618.jpg,Dialogue II,1984.0,Serigraph on paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda0648.jpg,Between Vows and Words,1995.0,Etching and aquatint on paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda0740.jpg,Dining with Ego,1999.0,Etching and aquatint on paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda0965.jpg,Composition,1968.0,Colour intaglio on paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda1227.jpg,Untitled,,Etching and aquatint on handmade paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda1273.jpg,Preparation for the Next Act…?,1989.0,Etching and aquatint on handmade paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda1253.jpg,Untitled,2010.0,Serigraph and digital print on paper
Anupam Sud,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/u/suda0757.jpg,Infiltrators,2007.0,Etching and aquatint on handmade paper
Amalnath Chakladhar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chakladhara30.jpg,Untitled,1967.0,Tempera on paper pasted on board
Amalnath Chakladhar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chakladhara44ny_1.jpg,"Untitled (Saithiya Baul Sampradaya, Birbhum)",,Watercolour and gouache on paper
Amalnath Chakladhar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chakladhara46.jpg,Untitled,,Oil and tempera on fabric pasted on Masonite board
Amalnath Chakladhar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chakladhara49_1.jpg,The Abode,1973.0,Tempera on fabric pasted on mount board
Amalnath Chakladhar,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/c/h/chakladhara51_1.jpg,Street Juggler,1958.0,Lithograph on paper pasted on paper
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf13.jpg,"An Introvert, Experiments in Portraitures",1970.0,Oil on canvas
Altaf,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/l/altaf028.jpg,Portrait of an Aging Couple,1998.0,Oil on canvas
